Name	Code	Aldrich Code	Function	Family	Side Group Type	M (g/mol)	p (g/mL)	polymer density
[2-(Methacryloyloxy)ethyl]dimethyl-(3-sulfopropyl)ammonium hydroxide	2-MDAH	3637-26-1	Monomer	Methacrylic	Zwitterionic	279.35	9.00E+99	
2-(Diethylamino)ethyl acrylate	2-DEAEA	2426-54-2	Monomer	Acrylic	Cationic	171.24	0.922	
2-(Dimethylamino)ethyl acrylate	2-DMAEA	2439-35-2	Monomer	Acrylic	Cationic	143.18	0.943	
2-(Dimethylamino)ethyl methacrylate	DMAEMA	2867-47-2 	Monomer	Methacrylic	Cationic	157.21	0.933	
2-Carboxyethyl acrylate 	2-CEA	24615-84-7	Monomer	Acrylic	Anionic	144.13	1.214	
2-Ethoxyethyl methacrylate	2-EEMA	2370-63-0	Monomer	Methacrylic	PEG	158.19	0.964	
2-Ethylhexyl methacrylate	2-EHMA	688-84-6 	Monomer	Methacrylic	Aliphatic	198.3	0.885	
2-Hydroxyethyl Acrylate	2-HEA	818-61-1	Monomer	Acrylic	Hydroxyl	116.1	9.00E+99	
2-Methacryloyloxyethyl phosphorylcholine	2-MOEP	67881-98-5 	Monomer	Methacrylic	Zwitterionic	295.27	9.00E+99	
2-N-Morpholinoethyl methacrylate	MEMA	2997-88-8 	Monomer	Methacrylic	Morpholinic	199.25	9.00E+99	
2-Propylheptyl Acrylate	2-PHA	149021-58-9	Monomer	Acrylic	Aliphatic	212.3	9.00E+99	
3-(Dimethylamino)propyl acrylate	3-DMAPA	18526-07-3	Monomer	Acrylic	Cationic	157.21	0.928	
3-(Methylthio) propylamine	MTPA	4104-45-4	Post-Functionalize	Amine	Thioester	105.2	9.00E+99	
3-Sulfopropyl acrylate potassium salt	3-SPA	31098-20-1 	Monomer	Acrylic	Anionic	232.3	9.00E+99	
3-Sulfopropyl methacrylate potassium salt	3-SPMA	31098-21-2	Monomer	Methacrylic	Anionic	246.32	9.00E+99	
4-Hydroxybutyl Acrylate	4-HBA	10/6/78	Monomer	Acrylic	Hydroxyl	144.2	9.00E+99	
4-Vinylpyridine	4-VP	100-43-6	Monomer	Styrenic	Aromatic/basic	105.14	0.975	
Acrylic acid	AA	79-10-7 	Monomer	Acrylic	Anionic	72.06	1.051	
Azobisisobutryonitrile	AIBN	755745	Initiator	Azo		164.21	9.00E+99	
Octadecyl Acrylate	ODA	4813-57-4	Monomer	Acrylic	Aliphatic	324.3	0.8	
Icosyl Acrylate	ICA	48076-38-6	Monomer	Acrylic	Aliphatic	352.3	9.00E+99	
Docosyl Acrylate	DCA	18299-85-9	Monomer	Acrylic	Aliphatic	380.4	9.00E+99	
Cyclohexyl methacrylate	CHMA	101-43-9 	Monomer	Methacrylic	Aliphatic	168.23	0.964	
Di(ethylene glycol) ethyl ether acrylate	DeGEEA	7328-17-8	Monomer	Acrylic	PEG	188.22	1.016	
Dimethylformamide	DMF		Solvent	Organic	Polar	73.1	0.948	
Dimethylsulfoxide	DMSO		Solvent	Organic	Polar	78.13	1.1004	
Ethylene glycol phenyl ether acrylate	EGPEA	48145-04-6	Monomer	Acrylic	Backbone	192.21	1.104	
